model,n_landmark,landmark,tau,rmst_observed_days,rmst_model_days,delta_rmst_days,p_rmst_greater,p_rmst_mc_se,n_boot,seed,p_resolution,inference,curve_distance,p_curve_distance
Gompertz,59,21.0,35.0,7.796610169491526,2.646616158222486,5.14999401126904,9.999000099990002e-05,9.999000099990002e-05,10000,20260919,9.999000099990002e-05,fixed prediction; inspection-time RMST; no training-fit uncertainty,2.4845047181633997,9.999000099990002e-05
Gompertz,59,21.0,39.0,7.898305084745763,2.646616158466124,5.251688926279639,9.999000099990002e-05,9.999000099990002e-05,10000,20260919,9.999000099990002e-05,fixed prediction; inspection-time RMST; no training-fit uncertainty,2.4873774558659294,9.999000099990002e-05
Langevin,59,21.0,35.0,7.796610169491526,8.10414217343374,-0.3075320039422138,0.6904309569043096,0.004623159640900463,10000,20260919,9.999000099990002e-05,fixed prediction; inspection-time RMST; no training-fit uncertainty,0.028164629513587017,0.5204479552044795
Langevin,59,21.0,39.0,7.898305084745763,8.885989482203344,-0.9876843974575813,0.9075092490750925,0.0028971746912855338,10000,20260919,9.999000099990002e-05,fixed prediction; inspection-time RMST; no training-fit uncertainty,0.14451980483384094,0.0670932906709329
