analysis,model_a,model_b,n_landmark,landmark,endpoint,logL_a,logL_b,mean_log_score_difference,total_log_score_difference,standard_error,ci_low,ci_high,confidence,normal_z_diagnostic,normal_p_two_sided_diagnostic,bootstrap_standard_error,n_boot,seed,status
full_followup,Langevin,Gompertz,59,21.0,all recorded outcomes,-130.4125615768973,-368.79931690269086,4.040453480098196,238.3867553257936,0.7747704545877809,2.597451139618886,5.59423603162432,0.95,5.2150329896716725,1.8378452405239224e-07,0.7708601873155829,20000,20260919,conditional on fixed training fits; iid worms; exploratory
through_35,Langevin,Gompertz,59,21.0,35.0,-126.97304363456072,-360.08754591424577,3.9510932589777115,233.11450227968498,0.7296240045251788,2.577995405168575,5.39916620229065,0.95,5.415245708025992,6.120459925817923e-08,0.7263929004060362,20000,20260919,conditional on fixed training fits; iid worms; exploratory
through_39,Langevin,Gompertz,59,21.0,39.0,-130.4125615768973,-368.79931690269086,4.040453480098196,238.3867553257936,0.7747704545877809,2.597451139618886,5.59423603162432,0.95,5.2150329896716725,1.8378452405239224e-07,0.7708601873155829,20000,20260919,conditional on fixed training fits; iid worms; exploratory
