age,event_observed,count,log_score_a,log_score_b,log_score_difference,total_log_score_difference
23.0,1,9,-1.6615741847492318,-0.3647446076682255,-1.2968295770810063,-11.671466193729056
24.0,1,5,-2.502651665790943,-1.8410918265860254,-0.6615598392049176,-3.307799196024588
25.0,1,6,-2.586985328796457,-2.479433805652044,-0.10755152314441307,-0.6453091388664784
28.0,1,13,-1.7017750271951435,-2.7958739547209746,1.094098927525831,14.223286057835804
30.0,1,8,-2.3730282696515808,-6.19278531477031,3.8197570451187293,30.558056360949834
32.0,1,4,-2.60250818832578,-9.379290997282698,6.776782808956918,27.107131235827673
35.0,1,12,-2.451039070040184,-13.638306106238412,11.187267036198229,134.24720443437874
35.0,0,1,-1.526951282774677,-22.828650642431217,21.30169935965654,21.30169935965654
35.0,0,1,-1.526951282774677,-22.828650642431217,21.30169935965654,21.30169935965654
